starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 14 20:54:19 2022	1668477259	29	2609	2638	895
Mon Nov 14 20:56:32 2022	1668477392	21	30008	30029	0
Mon Nov 14 20:56:24 2022	1668477384	31	30010	30041	0
Mon Nov 14 20:55:54 2022	1668477354	14	30030	30044	0
Mon Nov 14 20:55:54 2022	1668477354	14	30030	30045	0
Mon Nov 14 20:55:27 2022	1668477327	18	30027	30045	0
Mon Nov 14 20:56:53 2022	1668477413	16	30031	30047	0
Mon Nov 14 20:54:57 2022	1668477297	17	30036	30052	895
Mon Nov 14 20:55:54 2022	1668477354	18	30035	30053	0
Mon Nov 14 20:54:54 2022	1668477294	20	30043	30063	0
Mon Nov 14 20:56:25 2022	1668477385	16	30049	30065	0
Mon Nov 14 20:54:52 2022	1668477292	34	30034	30068	0
Mon Nov 14 20:55:23 2022	1668477323	20	30050	30070	0
Mon Nov 14 20:56:00 2022	1668477360	13	30059	30072	0
Mon Nov 14 20:55:25 2022	1668477325	17	30058	30075	0
Mon Nov 14 20:56:57 2022	1668477417	16	30065	30080	0
Mon Nov 14 20:56:59 2022	1668477419	19	30065	30084	0
Mon Nov 14 20:55:56 2022	1668477356	24	30062	30085	0
Mon Nov 14 20:55:26 2022	1668477326	15	30074	30089	0
Mon Nov 14 20:56:23 2022	1668477383	11	30079	30090	0
Mon Nov 14 20:56:24 2022	1668477384	31	30062	30092	0
Mon Nov 14 20:56:26 2022	1668477386	12	30083	30095	0
Mon Nov 14 20:56:26 2022	1668477386	28	30070	30098	0
Mon Nov 14 20:54:22 2022	1668477262	87	30019	30106	0
Mon Nov 14 20:56:58 2022	1668477418	53	30054	30107	0
Mon Nov 14 20:54:53 2022	1668477293	19	30093	30112	0
Mon Nov 14 20:56:58 2022	1668477418	15	30101	30115	0
Mon Nov 14 20:57:03 2022	1668477423	11	30108	30118	0
Mon Nov 14 20:57:02 2022	1668477422	27	30093	30121	0
Mon Nov 14 20:54:22 2022	1668477262	111	30017	30128	0
Mon Nov 14 20:54:22 2022	1668477262	89	30040	30128	0
Mon Nov 14 20:54:22 2022	1668477262	87	30050	30137	0
Mon Nov 14 20:54:52 2022	1668477292	23	30115	30138	0
Mon Nov 14 20:56:57 2022	1668477417	16	30128	30144	0
Mon Nov 14 20:54:53 2022	1668477293	24	30124	30148	0
Mon Nov 14 20:56:56 2022	1668477416	13	30152	30165	0
Mon Nov 14 20:55:24 2022	1668477324	17	30150	30166	0
Mon Nov 14 20:55:27 2022	1668477327	21	30149	30170	0
Mon Nov 14 20:57:02 2022	1668477422	12	30164	30177	0
Mon Nov 14 20:56:57 2022	1668477417	12	30166	30178	0
Mon Nov 14 20:56:58 2022	1668477418	11	30170	30181	0
Mon Nov 14 20:56:54 2022	1668477414	15	30170	30185	0
Mon Nov 14 20:56:01 2022	1668477361	13	30174	30188	0
Mon Nov 14 20:55:22 2022	1668477322	21	30167	30188	0
Mon Nov 14 20:57:00 2022	1668477420	25	30164	30189	0
Mon Nov 14 20:54:53 2022	1668477293	33	30168	30201	0
Mon Nov 14 20:54:53 2022	1668477293	17	30198	30214	0
Mon Nov 14 20:55:22 2022	1668477322	20	30200	30219	0
Mon Nov 14 20:57:00 2022	1668477420	15	30204	30219	895
Mon Nov 14 20:55:59 2022	1668477359	16	30217	30233	0
Mon Nov 14 20:55:53 2022	1668477353	18	30220	30238	0
Mon Nov 14 20:54:52 2022	1668477292	28	30213	30241	0
Mon Nov 14 20:54:54 2022	1668477294	17	30224	30241	0
Mon Nov 14 20:55:55 2022	1668477355	17	30232	30249	0
Mon Nov 14 20:55:22 2022	1668477322	13	30239	30252	0
Mon Nov 14 20:54:55 2022	1668477295	29	30225	30254	0
Mon Nov 14 20:57:00 2022	1668477420	19	30236	30255	0
Mon Nov 14 20:54:22 2022	1668477262	111	30145	30256	0
Mon Nov 14 20:55:53 2022	1668477353	28	30230	30258	0
Mon Nov 14 20:56:29 2022	1668477389	13	30248	30261	0
Mon Nov 14 20:56:28 2022	1668477388	19	30243	30262	0
Mon Nov 14 20:55:27 2022	1668477327	30	30236	30266	0
Mon Nov 14 20:56:23 2022	1668477383	13	30254	30268	0
Mon Nov 14 20:56:55 2022	1668477415	15	30255	30270	0
Mon Nov 14 20:55:24 2022	1668477324	25	30249	30274	0
Mon Nov 14 20:55:55 2022	1668477355	20	30255	30275	0
Mon Nov 14 20:57:01 2022	1668477421	12	30267	30279	0
Mon Nov 14 20:54:22 2022	1668477262	123	30161	30283	0
Mon Nov 14 20:56:02 2022	1668477362	18	30271	30289	0
Mon Nov 14 20:56:53 2022	1668477413	12	30280	30292	0
Mon Nov 14 20:54:53 2022	1668477293	19	30276	30295	0
Mon Nov 14 20:56:00 2022	1668477360	32	30265	30298	0
Mon Nov 14 20:55:57 2022	1668477357	16	30282	30298	0
Mon Nov 14 20:55:53 2022	1668477353	17	30282	30299	0
Mon Nov 14 20:56:56 2022	1668477416	11	30288	30299	0
Mon Nov 14 20:56:57 2022	1668477417	10	30295	30304	0
Mon Nov 14 20:54:22 2022	1668477262	111	30195	30306	0
Mon Nov 14 20:55:25 2022	1668477325	12	30295	30307	0
Mon Nov 14 20:54:22 2022	1668477262	86	30230	30317	0
Mon Nov 14 20:55:24 2022	1668477324	11	30315	30326	0
Mon Nov 14 20:54:52 2022	1668477292	24	30305	30329	0
Mon Nov 14 20:54:52 2022	1668477292	22	30308	30330	0
Mon Nov 14 20:56:31 2022	1668477391	21	30320	30341	0
Mon Nov 14 20:54:55 2022	1668477295	13	30330	30343	0
Mon Nov 14 20:57:00 2022	1668477420	9	30339	30348	0
Mon Nov 14 20:56:27 2022	1668477387	16	30346	30362	0
Mon Nov 14 20:56:55 2022	1668477415	17	30349	30366	0
Mon Nov 14 20:54:52 2022	1668477292	35	30335	30371	0
Mon Nov 14 20:56:59 2022	1668477419	18	30360	30378	0
Mon Nov 14 20:54:22 2022	1668477262	86	30294	30381	0
Mon Nov 14 20:56:58 2022	1668477418	13	30373	30386	0
Mon Nov 14 20:55:56 2022	1668477356	21	30376	30397	0
Mon Nov 14 20:56:58 2022	1668477418	13	30387	30400	0
Mon Nov 14 20:55:54 2022	1668477354	22	30394	30416	0
Mon Nov 14 20:57:01 2022	1668477421	12	30405	30417	0
Mon Nov 14 20:55:56 2022	1668477356	14	30407	30421	0
Mon Nov 14 20:55:25 2022	1668477325	10	30413	30423	0
Mon Nov 14 20:54:53 2022	1668477293	25	30403	30428	0
Mon Nov 14 20:55:57 2022	1668477357	27	30407	30434	0
Mon Nov 14 20:55:54 2022	1668477354	14	30429	30443	0
Mon Nov 14 20:54:22 2022	1668477262	96	30349	30445	0
Mon Nov 14 20:55:23 2022	1668477323	21	30428	30449	0
Mon Nov 14 20:55:23 2022	1668477323	19	30440	30459	0
Mon Nov 14 20:54:52 2022	1668477292	46	30415	30461	0
Mon Nov 14 20:56:29 2022	1668477389	18	30446	30464	0
Mon Nov 14 20:56:27 2022	1668477387	11	30460	30471	0
Mon Nov 14 20:56:25 2022	1668477385	26	30450	30476	0
Mon Nov 14 20:54:53 2022	1668477293	139	30340	30479	0
Mon Nov 14 20:54:55 2022	1668477295	11	30470	30481	0
Mon Nov 14 20:54:22 2022	1668477262	121	30366	30487	0
Mon Nov 14 20:56:54 2022	1668477414	14	30475	30489	0
Mon Nov 14 20:54:22 2022	1668477262	86	30404	30490	0
Mon Nov 14 20:54:22 2022	1668477262	111	30383	30494	0
Mon Nov 14 20:55:52 2022	1668477352	13	30482	30495	0
Mon Nov 14 20:55:56 2022	1668477356	23	30489	30512	0
Mon Nov 14 20:54:22 2022	1668477262	107	30414	30521	0
Mon Nov 14 20:56:56 2022	1668477416	17	30506	30523	0
Mon Nov 14 20:55:23 2022	1668477323	11	30525	30537	0
Mon Nov 14 20:55:24 2022	1668477324	26	30530	30555	0
Mon Nov 14 20:55:56 2022	1668477356	21	30535	30556	0
Mon Nov 14 20:57:02 2022	1668477422	14	30550	30564	0
Mon Nov 14 20:54:22 2022	1668477262	111	30457	30568	0
Mon Nov 14 20:55:24 2022	1668477324	13	30565	30579	0
Mon Nov 14 20:56:28 2022	1668477388	19	30568	30587	0
Mon Nov 14 20:55:30 2022	1668477330	12	30586	30598	0
Mon Nov 14 20:54:52 2022	1668477292	26	30576	30601	0
Mon Nov 14 20:55:23 2022	1668477323	17	30603	30620	0
Mon Nov 14 20:55:23 2022	1668477323	14	30615	30629	0
Mon Nov 14 20:54:53 2022	1668477293	13	30618	30631	0
Mon Nov 14 20:56:57 2022	1668477417	17	30660	30677	0
Mon Nov 14 20:56:59 2022	1668477419	18	30678	30695	0
Mon Nov 14 20:56:25 2022	1668477385	19	30687	30706	0
Mon Nov 14 20:54:22 2022	1668477262	86	30631	30717	0
Mon Nov 14 20:55:57 2022	1668477357	13	30721	30734	0
Mon Nov 14 20:57:00 2022	1668477420	28	30720	30749	0
Mon Nov 14 20:54:22 2022	1668477262	179	30584	30763	0
Mon Nov 14 20:56:26 2022	1668477386	31	30742	30773	0
Mon Nov 14 20:54:22 2022	1668477262	107	30670	30776	0
Mon Nov 14 20:55:27 2022	1668477327	19	30779	30797	895
Mon Nov 14 20:54:22 2022	1668477262	111	30688	30798	0
Mon Nov 14 20:54:52 2022	1668477292	13	30793	30806	0
Mon Nov 14 20:56:25 2022	1668477385	15	30791	30806	0
Mon Nov 14 20:56:57 2022	1668477417	9	30806	30815	0
Mon Nov 14 20:54:22 2022	1668477262	111	30707	30817	0
Mon Nov 14 20:56:27 2022	1668477387	10	30811	30821	0
Mon Nov 14 20:55:24 2022	1668477324	49	30772	30821	0
Mon Nov 14 20:54:54 2022	1668477294	19	30811	30830	0
Mon Nov 14 20:56:54 2022	1668477414	29	30805	30834	0
Mon Nov 14 20:55:59 2022	1668477359	19	30819	30838	0
Mon Nov 14 20:55:58 2022	1668477358	12	30831	30843	0
Mon Nov 14 20:55:55 2022	1668477355	13	30831	30844	0
Mon Nov 14 20:55:26 2022	1668477326	23	30829	30851	0
Mon Nov 14 20:56:29 2022	1668477389	12	30842	30854	0
Mon Nov 14 20:54:22 2022	1668477262	111	30747	30858	0
Mon Nov 14 20:55:54 2022	1668477354	13	30861	30875	0
Mon Nov 14 20:55:24 2022	1668477324	20	30858	30878	0
Mon Nov 14 20:56:23 2022	1668477383	12	30873	30885	0
Mon Nov 14 20:54:22 2022	1668477262	95	30796	30891	0
Mon Nov 14 20:54:22 2022	1668477262	86	30806	30892	0
Mon Nov 14 20:56:25 2022	1668477385	19	30876	30895	0
Mon Nov 14 20:56:59 2022	1668477419	64	30837	30901	0
Mon Nov 14 20:54:22 2022	1668477262	111	30794	30905	0
Mon Nov 14 20:54:22 2022	1668477262	107	30810	30917	0
Mon Nov 14 20:56:55 2022	1668477415	12	30914	30926	0
Mon Nov 14 20:55:57 2022	1668477357	22	30906	30928	0
Mon Nov 14 20:55:26 2022	1668477326	20	30931	30951	0
Mon Nov 14 20:55:59 2022	1668477359	15	30938	30953	0
Mon Nov 14 20:56:28 2022	1668477388	12	30960	30972	0
Mon Nov 14 20:54:22 2022	1668477262	87	30886	30972	0
Mon Nov 14 20:56:25 2022	1668477385	14	30967	30981	0
Mon Nov 14 20:55:53 2022	1668477353	11	30974	30985	0
Mon Nov 14 20:55:24 2022	1668477324	22	30966	30988	0
Mon Nov 14 20:54:54 2022	1668477294	13	30986	30999	0
Mon Nov 14 20:55:25 2022	1668477325	49	30957	31006	0
Mon Nov 14 20:55:54 2022	1668477354	15	30997	31012	0
Mon Nov 14 20:54:22 2022	1668477262	116	30898	31014	0
Mon Nov 14 20:56:26 2022	1668477386	22	30999	31020	0
Mon Nov 14 20:55:30 2022	1668477330	18	31006	31024	0
Mon Nov 14 20:56:31 2022	1668477391	17	31018	31035	0
Mon Nov 14 20:55:24 2022	1668477324	20	31020	31040	0
Mon Nov 14 20:56:25 2022	1668477385	12	31032	31044	0
Mon Nov 14 20:55:27 2022	1668477327	25	31045	31071	0
Mon Nov 14 20:55:29 2022	1668477329	14	31067	31081	0
Mon Nov 14 20:56:32 2022	1668477392	21	31064	31086	0
Mon Nov 14 20:55:57 2022	1668477357	22	31070	31091	0
Mon Nov 14 20:56:26 2022	1668477386	139	30956	31095	0
Mon Nov 14 20:54:53 2022	1668477293	52	31046	31097	0
Mon Nov 14 20:54:22 2022	1668477262	86	31021	31107	0
Mon Nov 14 20:56:30 2022	1668477390	20	31090	31110	0
Mon Nov 14 20:55:23 2022	1668477323	321	30789	31110	0
Mon Nov 14 20:55:59 2022	1668477359	13	31154	31168	0
Mon Nov 14 20:56:55 2022	1668477415	23	31145	31168	0
Mon Nov 14 20:55:23 2022	1668477323	15	31153	31169	0
Mon Nov 14 20:54:22 2022	1668477262	123	31061	31183	0
Mon Nov 14 20:55:55 2022	1668477355	31	31164	31194	0
Mon Nov 14 20:55:23 2022	1668477323	36	31173	31209	0
Mon Nov 14 20:56:26 2022	1668477386	38	31174	31212	0
Mon Nov 14 20:55:56 2022	1668477356	20	31198	31218	0
Mon Nov 14 20:54:22 2022	1668477262	95	31136	31231	0
Mon Nov 14 20:55:22 2022	1668477322	13	31222	31234	0
Mon Nov 14 20:56:57 2022	1668477417	9	31248	31257	0
Mon Nov 14 20:55:55 2022	1668477355	16	31242	31258	0
Mon Nov 14 20:54:53 2022	1668477293	103	31156	31258	0
Mon Nov 14 20:56:59 2022	1668477419	13	31247	31259	0
Mon Nov 14 20:56:57 2022	1668477417	17	31244	31262	0
Mon Nov 14 20:54:22 2022	1668477262	87	31190	31276	0
Mon Nov 14 20:55:55 2022	1668477355	19	31260	31279	0
Mon Nov 14 20:57:02 2022	1668477422	24	31264	31288	0
Mon Nov 14 20:54:54 2022	1668477294	21	31271	31291	0
Mon Nov 14 20:55:55 2022	1668477355	30	31298	31328	0
Mon Nov 14 20:56:56 2022	1668477416	19	31316	31334	0
Mon Nov 14 20:55:58 2022	1668477358	20	31318	31338	895
Mon Nov 14 20:57:00 2022	1668477420	13	31331	31344	0
Mon Nov 14 20:55:56 2022	1668477356	13	31332	31345	0
Mon Nov 14 20:54:52 2022	1668477292	33	31333	31366	0
Mon Nov 14 20:55:25 2022	1668477325	13	31362	31375	0
Mon Nov 14 20:54:22 2022	1668477262	129	31252	31381	0
Mon Nov 14 20:54:55 2022	1668477295	13	31422	31435	0
Mon Nov 14 20:54:53 2022	1668477293	18	31434	31452	0
Mon Nov 14 20:56:56 2022	1668477416	10	31453	31464	0
Mon Nov 14 20:54:53 2022	1668477293	1054	30416	31470	0
Mon Nov 14 20:56:24 2022	1668477384	12	31468	31480	0
Mon Nov 14 20:54:53 2022	1668477293	16	31499	31514	0
Mon Nov 14 20:54:22 2022	1668477262	121	31412	31533	0
Mon Nov 14 20:54:22 2022	1668477262	86	31471	31557	0
Mon Nov 14 20:56:29 2022	1668477389	10	31550	31560	895
Mon Nov 14 20:55:23 2022	1668477323	26	31551	31576	0
Mon Nov 14 20:54:52 2022	1668477292	24	31568	31592	0
Mon Nov 14 20:54:52 2022	1668477292	31	31563	31594	0
Mon Nov 14 20:54:22 2022	1668477262	121	31501	31622	0
Mon Nov 14 20:55:24 2022	1668477324	27	31597	31624	0
Mon Nov 14 20:55:54 2022	1668477354	29	31610	31639	0
Mon Nov 14 20:56:28 2022	1668477388	19	31630	31649	0
Mon Nov 14 20:56:32 2022	1668477392	23	31630	31653	0
Mon Nov 14 20:54:22 2022	1668477262	95	31561	31656	0
Mon Nov 14 20:54:22 2022	1668477262	87	31577	31663	0
Mon Nov 14 20:55:25 2022	1668477325	1048	30624	31672	0
Mon Nov 14 20:56:27 2022	1668477387	13	31677	31690	0
Mon Nov 14 20:56:00 2022	1668477360	34	31675	31709	0
Mon Nov 14 20:54:22 2022	1668477262	89	31627	31715	0
Mon Nov 14 20:54:22 2022	1668477262	87	31670	31758	0
Mon Nov 14 20:55:22 2022	1668477322	22	31804	31826	0
Mon Nov 14 20:56:56 2022	1668477416	17	31824	31842	0
Mon Nov 14 20:54:53 2022	1668477293	96	31761	31857	0
Mon Nov 14 20:56:30 2022	1668477390	16	31882	31898	0
Mon Nov 14 20:55:54 2022	1668477354	24	31875	31899	0
Mon Nov 14 20:56:24 2022	1668477384	15	31885	31900	0
Mon Nov 14 20:56:26 2022	1668477386	77	31832	31909	0
Mon Nov 14 20:54:53 2022	1668477293	14	31899	31913	0
Mon Nov 14 20:56:55 2022	1668477415	39	31882	31921	0
Mon Nov 14 20:56:26 2022	1668477386	17	31942	31958	0
Mon Nov 14 20:54:22 2022	1668477262	79	31886	31965	0
Mon Nov 14 20:54:22 2022	1668477262	111	31857	31967	0
Mon Nov 14 20:55:55 2022	1668477355	16	31977	31994	0
Mon Nov 14 20:54:56 2022	1668477296	35	32005	32040	0
Mon Nov 14 20:54:22 2022	1668477262	122	31958	32080	0
Mon Nov 14 20:56:27 2022	1668477387	21	32094	32115	0
Mon Nov 14 20:54:53 2022	1668477293	10	32109	32119	0
Mon Nov 14 20:56:30 2022	1668477390	14	32150	32163	0
Mon Nov 14 20:56:25 2022	1668477385	10	32165	32175	0
Mon Nov 14 20:56:29 2022	1668477389	36	32170	32206	0
Mon Nov 14 20:55:24 2022	1668477324	33	32177	32210	0
Mon Nov 14 20:56:24 2022	1668477384	33	32226	32259	0
Mon Nov 14 20:54:22 2022	1668477262	95	32267	32362	0
Mon Nov 14 20:54:54 2022	1668477294	15	32556	32571	0
Mon Nov 14 20:54:22 2022	1668477262	129	32495	32625	0
Mon Nov 14 20:55:53 2022	1668477353	341	32299	32641	0
Mon Nov 14 20:55:22 2022	1668477322	20	32626	32647	0
Mon Nov 14 20:56:28 2022	1668477388	15	32642	32656	0
Mon Nov 14 20:56:28 2022	1668477388	18	32674	32693	0
Mon Nov 14 20:54:52 2022	1668477292	37	32691	32728	0
Mon Nov 14 20:57:00 2022	1668477420	1028	31730	32758	0
Mon Nov 14 20:54:54 2022	1668477294	23	32757	32781	0
Mon Nov 14 20:56:26 2022	1668477386	11	32786	32797	0
Mon Nov 14 20:55:56 2022	1668477356	13	32829	32842	0
Mon Nov 14 20:55:27 2022	1668477327	28	33039	33067	0
Mon Nov 14 20:54:22 2022	1668477262	107	32988	33095	0
Mon Nov 14 20:54:53 2022	1668477293	26	33085	33111	0
Mon Nov 14 20:54:22 2022	1668477262	95	33076	33171	0
Mon Nov 14 20:55:26 2022	1668477326	30	33149	33180	0
Mon Nov 14 20:54:22 2022	1668477262	111	33074	33185	0
Mon Nov 14 20:55:53 2022	1668477353	16	33187	33203	0
Mon Nov 14 20:57:01 2022	1668477421	24	33292	33316	0
Mon Nov 14 20:54:53 2022	1668477293	77	33269	33346	0
Mon Nov 14 20:55:55 2022	1668477355	15	33341	33356	0
Mon Nov 14 20:55:26 2022	1668477326	21	33362	33384	0
Mon Nov 14 20:54:22 2022	1668477262	79	33441	33519	0
Mon Nov 14 20:55:26 2022	1668477326	31	33505	33535	0
Mon Nov 14 20:55:25 2022	1668477325	12	33626	33637	0
Mon Nov 14 20:55:28 2022	1668477328	15	33715	33730	0
Mon Nov 14 20:54:53 2022	1668477293	63	33796	33860	0
Mon Nov 14 20:56:26 2022	1668477386	28	34138	34166	0
Mon Nov 14 20:54:22 2022	1668477262	111	34240	34350	0
Mon Nov 14 20:54:53 2022	1668477293	76	34311	34387	0
Mon Nov 14 20:54:22 2022	1668477262	0	34854	34854	895
Mon Nov 14 20:54:52 2022	1668477292	18	35093	35110	0
Mon Nov 14 20:55:55 2022	1668477355	21	35439	35460	0
Mon Nov 14 20:54:54 2022	1668477294	17	35956	35973	0
Mon Nov 14 20:54:52 2022	1668477292	25	36579	36604	0
Mon Nov 14 20:54:54 2022	1668477294	12	36865	36877	0
