starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 21 18:57:09 2022	1669075029	25	1132	1157	514
Mon Nov 21 18:57:10 2022	1669075030	0	1197	1197	430
Mon Nov 21 18:57:09 2022	1669075029	61	1802	1863	633
Mon Nov 21 18:59:17 2022	1669075157	0	1979	1979	698
Mon Nov 21 18:58:47 2022	1669075127	0	2100	2100	509
Mon Nov 21 18:58:37 2022	1669075117	0	2241	2241	485
Mon Nov 21 18:59:22 2022	1669075162	0	2330	2330	760
Mon Nov 21 18:59:05 2022	1669075145	0	2644	2644	805
Mon Nov 21 18:58:34 2022	1669075114	0	2734	2734	600
Mon Nov 21 18:57:09 2022	1669075029	184	2620	2804	877
Mon Nov 21 18:58:55 2022	1669075135	0	2825	2825	678
Mon Nov 21 18:57:09 2022	1669075029	381	2532	2913	898
Mon Nov 21 18:59:19 2022	1669075159	0	3032	3032	1029
Mon Nov 21 18:58:52 2022	1669075132	0	3035	3035	765
Mon Nov 21 18:58:58 2022	1669075138	0	3117	3117	537
Mon Nov 21 18:58:06 2022	1669075086	0	3155	3155	1137
Mon Nov 21 18:58:49 2022	1669075129	0	3191	3191	748
Mon Nov 21 18:58:43 2022	1669075123	127	3107	3234	710
Mon Nov 21 18:58:54 2022	1669075134	248	3037	3284	570
Mon Nov 21 18:58:29 2022	1669075109	0	3393	3393	497
Mon Nov 21 18:59:11 2022	1669075151	0	3423	3423	1026
Mon Nov 21 18:59:13 2022	1669075153	127	3355	3482	875
Mon Nov 21 18:59:01 2022	1669075141	65	3479	3544	1662
Mon Nov 21 18:59:10 2022	1669075150	0	3643	3643	686
Mon Nov 21 18:58:50 2022	1669075130	0	3882	3882	474
Mon Nov 21 18:59:07 2022	1669075147	0	3895	3895	2518
Mon Nov 21 18:59:24 2022	1669075164	0	4051	4051	852
Mon Nov 21 18:58:36 2022	1669075116	105	4049	4154	1589
Mon Nov 21 18:58:16 2022	1669075096	0	4199	4199	829
Mon Nov 21 18:59:31 2022	1669075171	150	4152	4302	587
Mon Nov 21 18:58:39 2022	1669075119	0	4308	4308	1153
Mon Nov 21 18:58:41 2022	1669075121	0	4381	4381	966
Mon Nov 21 18:58:24 2022	1669075104	159	4320	4479	838
Mon Nov 21 18:58:23 2022	1669075103	105	4497	4602	478
Mon Nov 21 18:59:28 2022	1669075168	0	4603	4603	452
Mon Nov 21 18:58:25 2022	1669075105	87	4530	4617	1109
Mon Nov 21 18:58:45 2022	1669075125	0	4669	4669	910
Mon Nov 21 18:58:09 2022	1669075089	0	4787	4787	1867
Mon Nov 21 18:58:30 2022	1669075110	77	4779	4856	2087
Mon Nov 21 18:58:58 2022	1669075138	0	4947	4947	880
Mon Nov 21 18:58:44 2022	1669075124	0	4970	4970	789
Mon Nov 21 18:57:42 2022	1669075062	0	5026	5026	490
Mon Nov 21 18:59:01 2022	1669075141	0	5075	5075	1032
Mon Nov 21 18:59:03 2022	1669075143	0	5104	5104	487
Mon Nov 21 18:59:35 2022	1669075175	0	5136	5136	429
Mon Nov 21 18:59:14 2022	1669075154	0	5328	5328	580
Mon Nov 21 18:58:30 2022	1669075110	0	5498	5498	1367
Mon Nov 21 18:58:14 2022	1669075094	0	5531	5531	1354
Mon Nov 21 18:59:05 2022	1669075145	156	5454	5610	2465
Mon Nov 21 18:57:09 2022	1669075029	203	5589	5792	1193
Mon Nov 21 18:58:10 2022	1669075090	163	5805	5968	2168
Mon Nov 21 18:57:09 2022	1669075029	74	6043	6117	3006
Mon Nov 21 18:58:00 2022	1669075080	117	6356	6472	3618
Mon Nov 21 18:58:20 2022	1669075100	0	6819	6819	490
Mon Nov 21 18:59:15 2022	1669075155	132	6693	6826	935
Mon Nov 21 18:57:09 2022	1669075029	169	6709	6878	3184
Mon Nov 21 18:58:32 2022	1669075112	0	6948	6948	1265
Mon Nov 21 18:57:09 2022	1669075029	168	6919	7087	2895
Mon Nov 21 18:57:09 2022	1669075029	66	7026	7092	3940
Mon Nov 21 18:59:15 2022	1669075155	0	7123	7123	547
Mon Nov 21 18:57:45 2022	1669075065	0	7276	7276	680
Mon Nov 21 18:57:09 2022	1669075029	73	7230	7304	3926
Mon Nov 21 18:58:18 2022	1669075098	435	6930	7366	946
Mon Nov 21 18:57:09 2022	1669075029	73	7344	7417	3546
Mon Nov 21 18:59:06 2022	1669075146	0	7568	7568	872
Mon Nov 21 18:59:08 2022	1669075148	0	7607	7607	646
Mon Nov 21 18:58:39 2022	1669075119	0	7645	7645	1000
Mon Nov 21 18:59:22 2022	1669075162	0	7652	7652	1055
Mon Nov 21 18:58:20 2022	1669075100	0	7923	7923	608
Mon Nov 21 18:57:09 2022	1669075029	184	7757	7941	2735
Mon Nov 21 18:57:09 2022	1669075029	179	7781	7960	2439
Mon Nov 21 18:57:34 2022	1669075054	0	8149	8149	1525
Mon Nov 21 18:58:01 2022	1669075081	178	8506	8683	3610
Mon Nov 21 18:57:34 2022	1669075054	0	8730	8730	2424
Mon Nov 21 18:58:28 2022	1669075108	0	9159	9159	2404
Mon Nov 21 18:57:09 2022	1669075029	382	8860	9242	3306
Mon Nov 21 18:57:09 2022	1669075029	63	9299	9362	5478
Mon Nov 21 18:57:09 2022	1669075029	73	9351	9425	6602
Mon Nov 21 18:59:33 2022	1669075173	0	9829	9829	570
Mon Nov 21 18:58:27 2022	1669075107	0	9922	9922	647
Mon Nov 21 18:58:10 2022	1669075090	51	9895	9946	2273
Mon Nov 21 18:57:52 2022	1669075072	0	9980	9980	458
Mon Nov 21 18:57:09 2022	1669075029	382	9600	9982	5628
Mon Nov 21 18:57:34 2022	1669075054	0	10188	10188	1907
Mon Nov 21 18:58:04 2022	1669075084	164	10157	10321	2993
Mon Nov 21 18:57:16 2022	1669075036	0	10448	10448	7208
Mon Nov 21 18:57:16 2022	1669075036	0	10464	10464	4956
Mon Nov 21 18:58:07 2022	1669075087	141	10326	10467	3503
Mon Nov 21 18:57:09 2022	1669075029	86	10794	10881	7837
Mon Nov 21 18:57:36 2022	1669075056	0	10908	10908	750
Mon Nov 21 18:57:45 2022	1669075065	0	10998	10998	431
Mon Nov 21 18:58:17 2022	1669075097	50	10972	11022	549
Mon Nov 21 18:58:28 2022	1669075108	0	11047	11047	782
Mon Nov 21 18:58:25 2022	1669075105	0	11147	11147	536
Mon Nov 21 18:58:02 2022	1669075082	0	11211	11211	4011
Mon Nov 21 18:57:42 2022	1669075062	0	11599	11599	859
Mon Nov 21 18:57:34 2022	1669075054	0	11697	11697	1462
Mon Nov 21 18:57:09 2022	1669075029	290	11615	11905	7837
Mon Nov 21 18:57:12 2022	1669075032	0	11939	11939	8219
Mon Nov 21 18:58:10 2022	1669075090	0	11960	11960	2144
Mon Nov 21 18:59:19 2022	1669075159	0	11966	11966	540
Mon Nov 21 18:57:29 2022	1669075049	0	12029	12029	7688
Mon Nov 21 18:57:09 2022	1669075029	74	12023	12096	8367
Mon Nov 21 18:57:09 2022	1669075029	66	12089	12155	2651
Mon Nov 21 18:57:31 2022	1669075051	0	12257	12257	3119
Mon Nov 21 18:58:49 2022	1669075129	0	12658	12658	717
Mon Nov 21 18:57:09 2022	1669075029	166	12984	13150	7327
Mon Nov 21 18:57:56 2022	1669075076	0	13325	13325	826
Mon Nov 21 18:57:43 2022	1669075063	0	13390	13390	1291
Mon Nov 21 18:57:09 2022	1669075029	179	13868	14047	1129
Mon Nov 21 18:57:30 2022	1669075050	0	14056	14056	1835
