starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 03 16:08:55 2022	1670101735	17	4038	4055	2241
Sat Dec 03 16:10:32 2022	1670101832	12	29862	29874	2170
Sat Dec 03 16:16:35 2022	1670102195	0	30002	30002	2161
Sat Dec 03 16:10:31 2022	1670101831	0	30004	30004	1649
Sat Dec 03 16:15:36 2022	1670102136	9	30002	30012	4017
Sat Dec 03 16:16:04 2022	1670102164	13	30001	30015	0
Sat Dec 03 16:10:31 2022	1670101831	13	30003	30016	0
Sat Dec 03 16:09:29 2022	1670101769	11	30006	30017	0
Sat Dec 03 16:09:29 2022	1670101769	12	30005	30017	0
Sat Dec 03 16:16:08 2022	1670102168	14	30003	30017	5578
Sat Dec 03 16:15:34 2022	1670102134	11	30008	30019	0
Sat Dec 03 16:17:09 2022	1670102229	13	30008	30020	4286
Sat Dec 03 16:16:39 2022	1670102199	12	30010	30022	3321
Sat Dec 03 16:12:00 2022	1670101920	13	30011	30023	0
Sat Dec 03 16:14:02 2022	1670102042	14	30010	30023	1547
Sat Dec 03 16:17:33 2022	1670102253	16	30009	30025	1507
Sat Dec 03 16:12:01 2022	1670101921	12	30014	30026	0
Sat Dec 03 16:13:01 2022	1670101981	11	30017	30028	0
Sat Dec 03 16:18:04 2022	1670102284	10	30018	30028	1547
Sat Dec 03 16:17:04 2022	1670102224	11	30017	30029	1649
Sat Dec 03 16:15:33 2022	1670102133	17	30013	30030	0
Sat Dec 03 16:12:30 2022	1670101950	13	30017	30030	0
Sat Dec 03 16:12:32 2022	1670101952	10	30020	30030	0
Sat Dec 03 16:14:34 2022	1670102074	10	30020	30031	2891
Sat Dec 03 16:12:32 2022	1670101952	13	30022	30035	0
Sat Dec 03 16:13:03 2022	1670101983	16	30020	30037	2170
Sat Dec 03 16:17:37 2022	1670102257	17	30021	30037	4017
Sat Dec 03 16:16:04 2022	1670102164	16	30021	30038	1511
Sat Dec 03 16:12:05 2022	1670101925	0	30038	30038	4017
Sat Dec 03 16:12:31 2022	1670101951	10	30030	30039	0
Sat Dec 03 16:14:33 2022	1670102073	10	30030	30040	1511
Sat Dec 03 16:12:35 2022	1670101955	10	30031	30041	4017
Sat Dec 03 16:11:00 2022	1670101860	12	30029	30041	0
Sat Dec 03 16:16:03 2022	1670102163	16	30025	30042	0
Sat Dec 03 16:10:59 2022	1670101859	11	30031	30042	0
Sat Dec 03 16:15:35 2022	1670102135	21	30021	30042	2891
Sat Dec 03 16:18:38 2022	1670102318	13	30030	30043	2170
Sat Dec 03 16:14:01 2022	1670102041	14	30029	30043	0
Sat Dec 03 16:12:30 2022	1670101950	11	30032	30043	0
Sat Dec 03 16:11:00 2022	1670101860	25	30018	30044	0
Sat Dec 03 16:10:29 2022	1670101829	10	30037	30047	0
Sat Dec 03 16:12:31 2022	1670101951	15	30033	30048	0
Sat Dec 03 16:14:04 2022	1670102044	12	30037	30048	2891
Sat Dec 03 16:15:34 2022	1670102134	12	30036	30049	0
Sat Dec 03 16:15:06 2022	1670102106	11	30040	30050	4017
Sat Dec 03 16:11:33 2022	1670101893	0	30051	30051	2990
Sat Dec 03 16:16:05 2022	1670102165	9	30043	30052	2990
Sat Dec 03 16:17:34 2022	1670102254	18	30034	30052	0
Sat Dec 03 16:11:30 2022	1670101890	13	30040	30052	0
Sat Dec 03 16:08:59 2022	1670101739	33	30020	30053	0
Sat Dec 03 16:11:32 2022	1670101892	14	30042	30056	0
Sat Dec 03 16:16:33 2022	1670102193	0	30056	30056	1507
Sat Dec 03 16:10:00 2022	1670101800	12	30045	30057	0
Sat Dec 03 16:18:13 2022	1670102293	0	30058	30058	5765
Sat Dec 03 16:11:00 2022	1670101860	13	30051	30064	0
Sat Dec 03 16:18:04 2022	1670102284	13	30052	30065	0
Sat Dec 03 16:18:39 2022	1670102319	0	30066	30066	4104
Sat Dec 03 16:12:01 2022	1670101921	12	30054	30067	0
Sat Dec 03 16:11:31 2022	1670101891	13	30055	30068	0
Sat Dec 03 16:09:29 2022	1670101769	23	30047	30070	0
Sat Dec 03 16:15:02 2022	1670102102	20	30051	30071	1547
Sat Dec 03 16:11:31 2022	1670101891	22	30050	30072	0
Sat Dec 03 16:13:00 2022	1670101980	14	30060	30074	0
Sat Dec 03 16:15:32 2022	1670102132	13	30061	30074	0
Sat Dec 03 16:12:33 2022	1670101953	14	30061	30075	2990
Sat Dec 03 16:16:38 2022	1670102198	0	30077	30077	4318
Sat Dec 03 16:18:39 2022	1670102319	13	30065	30078	3328
Sat Dec 03 16:12:03 2022	1670101923	12	30066	30078	2990
Sat Dec 03 16:14:32 2022	1670102072	11	30068	30079	0
Sat Dec 03 16:11:30 2022	1670101890	10	30070	30080	0
Sat Dec 03 16:17:33 2022	1670102253	11	30069	30080	1547
Sat Dec 03 16:11:29 2022	1670101889	13	30068	30081	0
Sat Dec 03 16:13:02 2022	1670101982	12	30069	30081	0
Sat Dec 03 16:16:36 2022	1670102196	11	30070	30081	4017
Sat Dec 03 16:17:38 2022	1670102258	11	30071	30082	2170
Sat Dec 03 16:09:59 2022	1670101799	16	30069	30085	0
Sat Dec 03 16:11:00 2022	1670101860	11	30075	30086	0
Sat Dec 03 16:11:30 2022	1670101890	11	30076	30087	0
Sat Dec 03 16:14:02 2022	1670102042	11	30077	30088	0
Sat Dec 03 16:15:04 2022	1670102104	12	30076	30088	0
Sat Dec 03 16:08:59 2022	1670101739	38	30050	30089	0
Sat Dec 03 16:16:05 2022	1670102165	11	30078	30089	0
Sat Dec 03 16:09:29 2022	1670101769	35	30055	30089	0
Sat Dec 03 16:10:29 2022	1670101829	11	30081	30092	0
Sat Dec 03 16:08:59 2022	1670101739	45	30046	30092	0
Sat Dec 03 16:16:03 2022	1670102163	11	30081	30092	1547
Sat Dec 03 16:12:01 2022	1670101921	30	30065	30094	0
Sat Dec 03 16:15:03 2022	1670102103	10	30085	30095	1649
Sat Dec 03 16:11:03 2022	1670101863	10	30090	30099	2891
Sat Dec 03 16:11:01 2022	1670101861	13	30088	30101	0
Sat Dec 03 16:17:03 2022	1670102223	15	30086	30102	1507
Sat Dec 03 16:09:59 2022	1670101799	0	30102	30102	1547
Sat Dec 03 16:09:29 2022	1670101769	64	30040	30103	0
Sat Dec 03 16:11:01 2022	1670101861	13	30091	30103	0
Sat Dec 03 16:18:06 2022	1670102286	10	30094	30104	2990
Sat Dec 03 16:10:01 2022	1670101801	10	30097	30107	0
Sat Dec 03 16:10:31 2022	1670101831	13	30094	30107	2241
Sat Dec 03 16:15:35 2022	1670102135	11	30096	30107	2170
Sat Dec 03 16:13:00 2022	1670101980	11	30099	30110	0
Sat Dec 03 16:18:35 2022	1670102315	12	30099	30111	1975
Sat Dec 03 16:08:59 2022	1670101739	36	30076	30112	0
Sat Dec 03 16:14:33 2022	1670102073	15	30099	30113	0
Sat Dec 03 16:13:33 2022	1670102013	11	30104	30115	0
Sat Dec 03 16:10:00 2022	1670101800	10	30105	30116	0
Sat Dec 03 16:14:34 2022	1670102074	12	30104	30117	0
Sat Dec 03 16:16:35 2022	1670102195	10	30107	30118	2990
Sat Dec 03 16:18:36 2022	1670102316	11	30108	30119	2844
Sat Dec 03 16:12:31 2022	1670101951	12	30107	30119	1547
Sat Dec 03 16:14:04 2022	1670102044	11	30109	30120	2170
Sat Dec 03 16:13:02 2022	1670101982	12	30109	30121	1649
Sat Dec 03 16:15:05 2022	1670102105	11	30112	30123	2990
Sat Dec 03 16:09:59 2022	1670101799	36	30088	30124	0
Sat Dec 03 16:12:31 2022	1670101951	15	30110	30124	0
Sat Dec 03 16:14:31 2022	1670102071	12	30115	30127	0
Sat Dec 03 16:09:59 2022	1670101799	27	30103	30129	0
Sat Dec 03 16:18:42 2022	1670102322	11	30119	30131	3867
Sat Dec 03 16:12:32 2022	1670101952	13	30119	30132	1649
Sat Dec 03 16:11:34 2022	1670101894	10	30122	30132	2891
Sat Dec 03 16:18:40 2022	1670102320	13	30120	30133	5578
Sat Dec 03 16:15:33 2022	1670102133	20	30114	30134	0
Sat Dec 03 16:16:04 2022	1670102164	15	30121	30136	2844
Sat Dec 03 16:12:01 2022	1670101921	12	30125	30136	0
Sat Dec 03 16:13:01 2022	1670101981	20	30116	30137	0
Sat Dec 03 16:13:01 2022	1670101981	15	30122	30138	0
Sat Dec 03 16:14:32 2022	1670102072	13	30126	30140	1547
Sat Dec 03 16:11:01 2022	1670101861	14	30128	30142	1649
Sat Dec 03 16:10:01 2022	1670101801	14	30128	30142	2241
Sat Dec 03 16:13:04 2022	1670101984	12	30133	30144	2891
Sat Dec 03 16:15:03 2022	1670102103	13	30132	30145	1511
Sat Dec 03 16:16:34 2022	1670102194	10	30135	30145	1649
Sat Dec 03 16:13:02 2022	1670101982	0	30145	30145	1511
Sat Dec 03 16:18:39 2022	1670102319	11	30135	30146	4111
Sat Dec 03 16:18:09 2022	1670102289	18	30135	30153	3328
Sat Dec 03 16:10:29 2022	1670101829	19	30136	30155	1547
Sat Dec 03 16:18:05 2022	1670102285	0	30158	30158	1975
Sat Dec 03 16:13:35 2022	1670102015	13	30145	30158	4017
Sat Dec 03 16:13:02 2022	1670101982	19	30141	30160	0
Sat Dec 03 16:14:03 2022	1670102043	13	30148	30161	1649
Sat Dec 03 16:16:03 2022	1670102163	19	30143	30161	0
Sat Dec 03 16:12:00 2022	1670101920	11	30151	30163	0
Sat Dec 03 16:10:30 2022	1670101830	15	30149	30163	0
Sat Dec 03 16:17:03 2022	1670102223	14	30150	30164	1547
Sat Dec 03 16:16:09 2022	1670102169	11	30153	30164	3321
Sat Dec 03 16:11:00 2022	1670101860	27	30138	30165	0
Sat Dec 03 16:13:31 2022	1670102011	12	30154	30166	0
Sat Dec 03 16:13:01 2022	1670101981	11	30156	30167	0
Sat Dec 03 16:17:07 2022	1670102227	14	30154	30167	4483
Sat Dec 03 16:15:36 2022	1670102136	0	30168	30168	1565
Sat Dec 03 16:12:01 2022	1670101921	11	30158	30169	0
Sat Dec 03 16:17:37 2022	1670102257	11	30159	30170	3626
Sat Dec 03 16:16:38 2022	1670102198	16	30154	30170	5578
Sat Dec 03 16:18:05 2022	1670102285	13	30160	30173	2844
Sat Dec 03 16:18:43 2022	1670102323	11	30163	30174	5765
Sat Dec 03 16:17:04 2022	1670102224	15	30159	30174	0
Sat Dec 03 16:14:35 2022	1670102075	16	30158	30175	2990
Sat Dec 03 16:17:08 2022	1670102228	12	30162	30175	5578
Sat Dec 03 16:12:02 2022	1670101922	13	30162	30175	1649
Sat Dec 03 16:11:31 2022	1670101891	14	30163	30177	0
Sat Dec 03 16:12:02 2022	1670101922	11	30166	30177	0
Sat Dec 03 16:17:34 2022	1670102254	13	30165	30178	1511
Sat Dec 03 16:14:33 2022	1670102073	11	30168	30179	2844
Sat Dec 03 16:10:30 2022	1670101830	22	30156	30179	0
Sat Dec 03 16:15:03 2022	1670102103	14	30166	30180	0
Sat Dec 03 16:12:34 2022	1670101954	15	30169	30184	2891
Sat Dec 03 16:10:29 2022	1670101829	13	30174	30187	0
Sat Dec 03 16:16:06 2022	1670102166	12	30176	30188	3626
Sat Dec 03 16:18:40 2022	1670102320	12	30179	30192	3321
Sat Dec 03 16:15:38 2022	1670102138	10	30184	30194	5578
Sat Dec 03 16:14:04 2022	1670102044	12	30184	30197	2990
Sat Dec 03 16:09:29 2022	1670101769	48	30150	30199	0
Sat Dec 03 16:13:34 2022	1670102014	10	30190	30200	2891
Sat Dec 03 16:18:38 2022	1670102318	9	30191	30200	2437
Sat Dec 03 16:12:04 2022	1670101924	11	30193	30203	2891
Sat Dec 03 16:18:34 2022	1670102314	10	30193	30204	0
Sat Dec 03 16:15:03 2022	1670102103	13	30192	30205	0
Sat Dec 03 16:08:59 2022	1670101739	39	30167	30205	0
Sat Dec 03 16:11:31 2022	1670101891	23	30183	30206	0
Sat Dec 03 16:11:02 2022	1670101862	0	30207	30207	2170
Sat Dec 03 16:17:36 2022	1670102256	10	30198	30208	2990
Sat Dec 03 16:18:04 2022	1670102284	13	30198	30211	0
Sat Dec 03 16:10:00 2022	1670101800	13	30200	30213	0
Sat Dec 03 16:09:59 2022	1670101799	11	30204	30215	0
Sat Dec 03 16:18:05 2022	1670102285	10	30208	30218	1511
Sat Dec 03 16:17:39 2022	1670102259	11	30208	30219	3321
Sat Dec 03 16:17:05 2022	1670102225	11	30209	30220	2990
Sat Dec 03 16:18:08 2022	1670102288	12	30212	30224	4111
Sat Dec 03 16:10:31 2022	1670101831	12	30213	30225	0
Sat Dec 03 16:18:05 2022	1670102285	10	30216	30226	0
Sat Dec 03 16:10:30 2022	1670101830	13	30213	30226	0
Sat Dec 03 16:14:32 2022	1670102072	10	30217	30227	0
